p=[-3.471;2.48422;1.98794],d=[-0.867751;-0.00394427;0.496984],t=1msg=N/A
p=[-13.8939;2.43684;7.95741],d=[-0.867751;-0.00394424;0.496984],t=4.00285msg=N/A
p=[-17.3696;2.42104;9.94803],d=[-0.867751;-0.00394425;0.496984],t=5.0042msg=N/A
p=[-20.8577;2.40518;11.9458],d=[-0.867751;-0.00394425;0.496984],t=6.00913msg=N/A
p=[-24.3288;2.38941;13.9338],d=[-0.867751;-0.00394424;0.496984],t=7.00915msg=N/A
p=[-48.598;2.27909;27.8334],d=[-0.86775;-0.00394422;0.496984],t=14.0011msg=N/A
p=[-52.0722;2.2633;29.8231],d=[-0.867751;-0.00394421;0.496985],t=15.0021msg=N/A
p=[-59.0345;2.23165;33.8107],d=[-0.867751;-0.0039442;0.496984],t=17.0079msg=N/A
p=[-76.3624;2.15289;43.7348],d=[-0.86775;-0.0039442;0.496985],t=22.0001msg=N/A
p=[-79.8378;2.1371;45.7253],d=[-0.86775;-0.00394421;0.496985],t=23.0014msg=N/A
p=[-83.3141;2.1213;47.7162],d=[-0.86775;-0.00394421;0.496985],t=24.0029msg=N/A
p=[-86.7926;2.10548;49.7085],d=[-0.86775;-0.00394419;0.496985],t=25.0051msg=N/A
p=[-90.2647;2.0897;51.697],d=[-0.867751;-0.00394418;0.496984],t=26.0054msg=N/A
p=[-93.7402;2.07391;53.6876],d=[-0.86775;-0.00394419;0.496985],t=27.0067msg=N/A
p=[-97.2153;2.05811;55.6778],d=[-0.86775;-0.00394414;0.496985],t=28.0079msg=N/A
p=[-100.672;2.0424;57.6575],d=[-0.86775;-0.0039442;0.496985],t=29.0037msg=N/A
p=[-100.817;2.03895;60.0034],d=[0.196116;0;-0.980581],t=30.0056msg=N/A
p=[-99.2521;2.03895;52.1782],d=[0.196116;0;-0.980581],t=32.0007msg=N/A
p=[-98.4664;2.03895;48.2497],d=[0.196116;0;-0.980581],t=33.0022msg=N/A
p=[-97.6818;2.03895;44.3266],d=[0.196116;0;-0.980581],t=34.0024msg=N/A
p=[-96.8967;2.03895;40.4011],d=[0.196116;0;-0.980581],t=35.0033msg=N/A
p=[-96.1104;2.03895;36.4694],d=[0.196116;0;-0.980581],t=36.0056msg=N/A
p=[-95.3251;2.03895;32.5433],d=[0.196116;0;-0.980581],t=37.0066msg=N/A
p=[-93.7554;2.03895;24.6947],d=[0.196116;0;-0.980581],t=39.0076msg=N/A
p=[-87.4839;2.03895;-6.66264],d=[0.196116;0;-0.980581],t=47.0022msg=N/A
p=[-86.6987;2.03895;-10.589],d=[0.196116;0;-0.980581],t=48.0032msg=N/A
p=[-85.914;2.03895;-14.5122],d=[0.196116;0;-0.980581],t=49.0034msg=N/A
